distretto,day_of_year,precipitation_p1,precipitation_p10,precipitation_p25,precipitation_p75,precipitation_p50,precipitation_p95,precipitation_p99
7656.0,166.0,0.0,0.0,0.0,1.9124347617511468,0.0,11.705759845498683,13.932370517230753
7669.0,166.0,0.0,0.0,0.0,0.3153732311787871,0.0,11.574680390398763,14.656212840884956
7668.0,166.0,0.0,0.0,0.0,0.07730717946661989,0.0,11.784043465167429,14.693109482733938
7670.0,166.0,0.0,0.0,0.0,0.9386354860896339,0.0,11.838863304841496,15.124654826850358
7639.0,166.0,0.0,0.0,0.0,4.314471029549665,0.0,16.6165621359472,21.10259529145428
7680.0,166.0,0.0,0.0,0.0,2.7397607777766977,0.0,13.0708832009201,15.97084311879497
7679.0,166.0,0.0,0.0,0.0,4.043569139500321,0.0,14.346040840598748,17.79140225169678
7688.0,166.0,0.0,0.0,0.0,0.02140132636270748,0.0,10.144189804660732,12.340448950896029
7672.0,166.0,0.0,0.0,0.0,0.006409821764437253,0.0,14.036921395081826,21.87204567165562
7678.0,166.0,0.0,0.0,0.0,0.16160616088482238,0.0,12.593851559459084,17.44374262179294
7676.0,166.0,0.0,0.0,0.0,1.6329747032672408,0.0,17.920152985768077,22.773825562990847
7671.0,166.0,0.0,0.0,0.0,0.35187934997305936,0.0,11.988812589842777,14.18975333276407
7674.0,166.0,0.0,0.0,0.0,0.0,0.0,10.22628421533074,11.17693489953495
7673.0,166.0,0.0,0.0,0.0,0.15957528960904663,0.0,12.178924888643305,17.9440397811713
7677.0,166.0,0.0,0.0,0.0,1.011832210476343,0.0,11.217278018240199,14.388730312560503
7675.0,166.0,0.0,0.0,0.0,1.0407586636218313,0.0,14.695604327048837,18.92434422235267
7657.0,167.0,0.0,0.0,0.0,1.3618157934387016,0.0,13.94685081484783,17.404398226807736
11058.0,167.0,0.0,0.0,0.0,1.3280192613601685,0.0,16.902048110961914,22.680435180664062
7662.0,167.0,0.0,0.0,0.0,0.0,0.0,10.076829860295389,10.701913741649573
7661.0,167.0,0.0,0.0,0.0,0.5378677657733137,0.0,10.503730238328748,11.061397906803508
7663.0,167.0,0.0,0.0,0.0,0.0,0.0,10.680045684571867,11.432606201788046
7667.0,167.0,0.0,0.0,0.0,1.5950572846797764,0.0,11.839410872786221,13.257770194686362
7660.0,167.0,0.0,0.0,0.0,0.9644597480669524,0.0,11.888127275661965,12.573839984693974
7658.0,167.0,0.0,0.0,0.0,1.3557327316049945,0.0,17.978844963500542,23.632658096650115
7666.0,167.0,0.0,0.0,0.0,0.0,0.0,10.999006340351508,11.627148364452603
